2026-04-19 01:30:17,333 [INFO] Reading raw offers from C:\Users\marouane\Desktop\FindJob\transformers\data\adzuna_raw.json
2026-04-19 01:30:17,352 [INFO] Loaded 1000 raw offers
2026-04-19 01:30:17,475 [INFO] Transformed offer | poste='Data Engineer en charge de la base de référence' | societe='Ministère des Armées' | lieu='Creil, Senlis' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,476 [INFO] Transformed offer | poste='DATA SCIENTIST 4/11' | societe='Ministère des Armées' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=Alternance | tech=1
2026-04-19 01:30:17,477 [INFO] Transformed offer | poste='Data Engineer Azure' | societe='Visian' | lieu='La Défense, Courbevoie' | contrat=None | seniorite=None | tech=2
2026-04-19 01:30:17,479 [INFO] Transformed offer | poste='Solution Architect, Big Data' | societe='Tencent Cloud' | lieu='France' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,480 [INFO] Transformed offer | poste='Senior Data Scientist - IA (F/M)' | societe='Younited' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,482 [INFO] Transformed offer | poste='Data Engineer (CDI)' | societe='Toast' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,483 [INFO] Transformed offer | poste='Architecte DATA - Ile-de-France' | societe='Sopra Steria' | lieu='Courbevoie, Nanterre' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,484 [INFO] Transformed offer | poste='Data/Analytics Engineer' | societe='Mistral Ai' | lieu='1er Arrondissement, Paris' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,486 [INFO] Transformed offer | poste='Data/Analytics Engineer' | societe='Mistral Ai' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,488 [INFO] Transformed offer | poste='Directeur de Projet Data – Migrations de Plateformes - Data Factory - Services Financiers - Nantes' | societe='Sopra Steria' | lieu='Nantes, Loire-Atlantique' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,489 [INFO] Transformed offer | poste='Data Scientist' | societe='Albatross' | lieu='France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,491 [INFO] Transformed offer | poste='Data Engineer Big Data / BI' | societe='adbi' | lieu='Paris, Ile-de-France' | contrat=CDD | seniorite=Senior | tech=4
2026-04-19 01:30:17,492 [INFO] Transformed offer | poste='Data Engineer Big Data/Teradata' | societe='VISIAN' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,494 [INFO] Transformed offer | poste='Data Engineer GCP & Big Data' | societe='Pyl.tech' | lieu='10ème Arrondissement, Paris' | contrat=None | seniorite=None | tech=3
2026-04-19 01:30:17,495 [INFO] Transformed offer | poste='Data Scientist (IT)' | societe='ONSPARK' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,497 [INFO] Transformed offer | poste='Data Scientist ‒ Fraud & Payment Analytics' | societe='Free-Work' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=1
2026-04-19 01:30:17,498 [INFO] Transformed offer | poste='Data analyst h/f (CDI)' | societe="Mercato de l'emploi" | lieu='Deux-Sèvres, Nouvelle-Aquitaine' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,500 [INFO] Transformed offer | poste='Data analyst h/f (CDI)' | societe="Mercato de l'emploi" | lieu='Gironde, Nouvelle-Aquitaine' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,501 [INFO] Transformed offer | poste='Data Analytics Engineer' | societe='Mirakl' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,502 [INFO] Transformed offer | poste='Data scientist' | societe='Innova Solutions' | lieu='Saint-Cloud, Boulogne-Billancourt' | contrat=None | seniorite=None | tech=3
